"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2014 GE35)",1.891,0.5204,19.16,223.38,232.13,0.907,2.88,2.6,1180,2,57,,,20.09
"       (2014 GF35)",2.504,0.4868,7.85,2.73,148.82,1.285,3.72,3.96,4,9,17,,,22.10
"       (2014 GG35)",1.83,0.3371,4.13,348.63,254.47,1.213,2.45,2.48,1917,1,64,,,21.90
"       (2014 GH35)",2.214,0.5419,9.50,23.40,258.36,1.014,3.41,3.29,138,5,58,,,21.40
"       (2014 GJ35)",1.516,0.6331,33.87,193.16,114.07,0.556,2.48,1.87,325,3,126,,,20.30
"       (2014 GK35)",1.643,0.6654,5.92,203.49,251.01,0.550,2.74,2.11,4,8,47,,,24.40
"       (2014 GL35)",2.136,0.7807,7.83,224.45,218.40,0.468,3.80,3.12,23,7,63,,,20.60
"       (2014 GM35)",2.484,0.7845,4.19,194.04,268.97,0.535,4.43,3.92,1,8,17,,,26.80
"       (2014 GY44)",1.189,0.3911,10.19,188.66,271.67,0.724,1.65,1.3,1502,2,39,,,25.40
"       (2014 GC45)",1.9,0.3759,10.71,36.31,198.08,1.186,2.61,2.62,55,6,77,,,22.70
"       (2014 GF45)",0.9837,0.2350,15.96,198.88,170.44,0.753,1.21,0.976,773,2,52,,,23.30
"       (2014 GG45)",1.284,0.2429,38.02,19.67,215.82,0.972,1.60,1.45,2,8,38,,,24.80
"       (2014 GH45)",1.167,0.1304,25.39,194.94,298.16,1.014,1.32,1.26,29,8,24,,,24.90
"       (2014 GJ45)",0.938,0.3279,21.31,22.02,312.36,0.630,1.25,0.908,17,7,56,,,23.60
"       (2014 GK45)",1.618,0.3492,4.87,29.08,157.96,1.053,2.18,2.06,29,7,49,,,26.10
"       (2014 GQ45)",2.111,0.5191,6.46,193.81,7.65,1.015,3.21,3.07,8,7,396,,,25.50
"       (2014 GR45)",2.008,0.5278,2.07,130.37,5.71,0.948,3.07,2.85,15,8,30,,,23.90
"       (2014 GS45)",2.026,0.4681,9.58,186.82,4.20,1.078,2.97,2.88,26,7,36,,,24.40
"       (2014 GT45)",1.174,0.0668,17.84,191.43,324.01,1.095,1.25,1.27,26,7,31,,,23.70
"       (2014 GV48)",1.854,0.4304,3.72,208.51,353.23,1.056,2.65,2.52,12,7,18,,,25.80
"       (2014 GB49)",2.508,0.6155,14.38,13.66,208.67,0.964,4.05,3.97,1,7,51,,,25.80
"       (2014 GC49)",0.7348,0.6440,6.43,193.27,207.55,0.262,1.21,0.63,1,6,13,,,28.60
"       (2014 GG49)",1.401,0.4054,4.32,35.35,240.00,0.833,1.97,1.66,10,7,44,,,25.70
"       (2014 GL49)",1.239,0.5215,4.75,83.06,27.60,0.593,1.89,1.38,2344,1,100,,,20.76
"       (2014 GB50)",2.277,0.4317,24.19,188.29,306.92,1.294,3.26,3.44,2564,1,31,,,20.46
"       (2014 GD50)",1.763,0.5228,35.01,58.42,250.29,0.841,2.68,2.34,2791,0,320,,,20.08
"       (2014 GE53)",2.669,0.5130,27.31,130.54,114.03,1.300,4.04,4.36,1532,1,50,,,18.50
"       (2014 HW)",1.079,0.1150,4.49,34.32,243.71,0.955,1.20,1.12,3,6,32,,,28.40
"       (2014 HK2)",2.431,0.5305,13.43,74.29,187.37,1.141,3.72,3.79,81,5,31,,,20.30
"       (2014 HL2)",2.081,0.5510,0.46,112.52,146.46,0.934,3.23,3,8,8,29,,,26.20
"       (2014 HM2)",2.277,0.5211,4.93,208.64,47.57,1.091,3.46,3.44,138,4,182,,,21.80
"       (2014 HN2)",0.9267,0.1184,1.24,198.85,207.42,0.817,1.04,0.892,42,6,66,,,26.34
"       (2014 HO2)",1.193,0.2803,0.58,156.19,334.52,0.858,1.53,1.3,8,8,32,,,26.00
"       (2014 HP2)",1.519,0.3479,2.50,35.91,202.01,0.990,2.05,1.87,3,8,30,,,27.30
"       (2014 HU2)",2.35,0.6738,1.09,57.01,223.91,0.767,3.93,3.6,1,8,27,,,26.50
"       (2014 HV2)",2.077,0.5767,4.25,39.47,228.94,0.879,3.28,2.99,6,8,69,,,25.90
"       (2014 HW2)",1.58,0.2531,34.71,30.68,258.07,1.180,1.98,1.99,17,8,28,,,22.20
"       (2014 HX2)",1.831,0.4648,1.09,31.72,147.85,0.980,2.68,2.48,6,8,26,,,27.20
"       (2014 HD3)",2.13,0.5080,7.98,52.20,225.48,1.048,3.21,3.11,1071,0,164,,,20.40
"       (2014 HE3)",3.263,0.7272,6.36,22.59,287.38,0.890,5.64,5.89,2396,0,164,,,19.90
"       (2014 HG4)",2.771,0.7861,4.53,109.28,210.56,0.593,4.95,4.61,231,5,137,,,19.80
"       (2014 HH4)",1.125,0.6755,2.67,218.87,222.62,0.365,1.88,1.19,6,8,27,,,24.10
"       (2014 HJ4)",1.578,0.2866,13.89,36.80,154.56,1.126,2.03,1.98,13,8,29,,,23.40
"       (2014 HK4)",1.258,0.5021,8.67,38.90,281.97,0.626,1.89,1.41,9,8,38,,,23.60
"       (2014 HM4)",1.099,0.5300,1.31,30.84,297.96,0.516,1.68,1.15,3,4,34,1,1,26.90
"       (2014 HN4)",1.508,0.3353,14.26,213.71,310.16,1.002,2.01,1.85,6,8,28,,,25.90
"       (2014 HO4)",1.139,0.5938,31.15,66.89,7.13,0.463,1.81,1.22,6557,0,166,,,19.30
"       (2014 HP4)",2.066,0.5573,5.33,158.53,355.24,0.914,3.22,2.97,40,7,47,,,22.30
"       (2014 HQ4)",1.751,0.5760,6.06,210.74,278.75,0.742,2.76,2.32,4,8,20,,,26.20
"       (2014 HR4)",1.695,0.2426,36.40,58.56,67.84,1.284,2.11,2.21,1297,1,89,,,19.40
"       (2014 HS4)",1.78,0.4105,4.93,213.59,350.90,1.049,2.51,2.37,6,8,23,,,26.10
"       (2014 HT4)",2.045,0.4923,5.07,200.59,341.68,1.038,3.05,2.92,29,7,45,,,23.70
"       (2014 HE5)",2.271,0.6052,11.09,31.93,233.29,0.896,3.65,3.42,3,8,24,,,25.40
